Designator,Mid X,Mid Y,Rotation,Layer
C1,181.0,-126.3,180.0,bottom
C10,166.3,-108.8,270.0,bottom
C11,166.3,-111.2,90.0,bottom
C12,167.9,-113.2,180.0,bottom
C13,190.7,-113.0,180.0,bottom
C14,190.7,-114.0,180.0,bottom
C15,192.6,-110.0,90.0,bottom
C16,192.6,-107.8,90.0,bottom
C17,183.4,-100.8,180.0,bottom
C18,161.7,-133.2,180.0,bottom
C19,161.2,-126.1,270.0,bottom
C2,178.4,-121.3,270.0,bottom
C20,159.4,-125.9,270.0,bottom
C21,157.6,-127.1,90.0,bottom
C22,148.5,-109.3,90.0,bottom
C23,172.5,-126.3,180.0,bottom
C24,166.3,-101.6,90.0,bottom
C25,192.6,-104.0,90.0,bottom
C26,192.6,-111.9,90.0,bottom
C27,144.0,-117.3,270.0,bottom
C28,192.6,-105.9,90.0,bottom
C29,163.8,-103.2,90.0,bottom
C3,176.6,-121.5,270.0,bottom
C30,164.8,-103.2,90.0,bottom
C31,162.8,-103.2,90.0,bottom
C32,161.8,-103.2,90.0,bottom
C33,192.6,-101.6,90.0,bottom
C34,160.8,-103.2,90.0,bottom
C35,159.8,-103.2,90.0,bottom
C36,164.8,-108.8,270.0,bottom
C37,163.8,-108.8,270.0,bottom
C38,162.8,-108.8,270.0,bottom
C39,185.0,-113.0,180.0,bottom
C4,166.3,-104.0,270.0,bottom
C40,159.8,-105.6,270.0,bottom
C41,175.45,-70.75,180.0,bottom
C42,158.3,-107.6,0.0,bottom
C43,159.8,-108.8,270.0,bottom
C44,160.8,-108.8,270.0,bottom
C45,161.8,-108.8,270.0,bottom
C46,129.3,-115.2,270.0,bottom
C47,192.6,-99.7,90.0,bottom
C48,170.7,-113.7,90.0,bottom
C49,189.4,-87.5,270.0,bottom
C5,137.6,-117.3,270.0,bottom
C50,171.1,-71.0,0.0,bottom
C51,147.2,-128.1,90.0,bottom
C52,169.1,-98.0,180.0,bottom
C53,168.3,-91.8,90.0,bottom
C54,167.4,-115.6,90.0,bottom
C55,166.8,-98.0,180.0,bottom
C56,152.4,-128.1,270.0,bottom
C57,166.4,-115.6,270.0,bottom
C58,163.2,-115.6,270.0,bottom
C59,158.3,-106.0,0.0,bottom
C6,166.3,-106.4,90.0,bottom
C60,150.1,-124.62,270.0,bottom
C61,171.2,-67.8,90.0,bottom
C62,174.0,-80.3,180.0,bottom
C63,143.9,-128.7,90.0,bottom
C64,137.6,-128.7,90.0,bottom
C65,147.4,-121.9,270.0,bottom
C66,151.1,-124.6,270.0,bottom
C67,190.2,-110.0,180.0,bottom
C68,193.4,-113.9,0.0,bottom
C69,152.1,-115.1,90.0,bottom
C7,168.0,-121.5,270.0,bottom
C70,146.8,-117.9,180.0,bottom
C71,137.1,-124.6,90.0,bottom
C72,138.1,-124.6,90.0,bottom
C73,143.5,-124.6,90.0,bottom
C74,144.5,-124.6,90.0,bottom
C75,170.0,-90.3,90.0,bottom
C76,171.0,-87.9,270.0,bottom
C77,170.0,-87.9,270.0,bottom
C78,171.0,-90.3,90.0,bottom
C79,167.7,-87.9,180.0,bottom
C8,169.8,-121.3,270.0,bottom
C9,162.4,-121.5,180.0,bottom
D1,176.4,-73.5,270.0,bottom
D2,157.6,-132.7,270.0,top
D3,147.9,-105.8,270.0,bottom
D4,146.9,-110.4,180.0,top
D5,146.9,-112.0,180.0,top
D8,181.0,-128.3,180.0,bottom
FID1,129.7,-66.0,0.0,top
FID2,129.7,-143.0,0.0,top
FID3,195.7,-142.0,0.0,top
FID4,192.7,-67.0,0.0,top
J1,171.05,-133.2225,270.0,top
J10,189.05,-92.4,90.0,top
J2,190.8725,-135.4,90.0,top
J4,202.2,-118.325,270.0,top
J5,123.2,-75.5,0.0,top
J6,162.6,-69.4,180.0,top
J7,140.625,-103.6,0.0,top
J8,156.5,-139.46,0.0,top
J9,144.332,-140.1,180.0,top
L1,172.7,-119.5,180.0,bottom
L2,181.2,-119.5,180.0,bottom
L3,163.4,-125.6,90.0,bottom
L5,174.0,-77.2,90.0,bottom
R1,163.5,-94.6,0.0,bottom
R10,177.7,-125.7,0.0,bottom
R11,147.4,-109.3,90.0,bottom
R12,149.4,-105.2,270.0,bottom
R13,150.0,-112.0,180.0,top
R14,150.0,-110.4,180.0,top
R15,159.1,-129.6,90.0,bottom
R16,159.1,-132.7,90.0,bottom
R17,159.9,-120.0,270.0,bottom
R18,187.8,-104.8,270.0,bottom
R19,169.7,-115.6,270.0,bottom
R2,184.0,-104.1,180.0,bottom
R20,169.7,-113.7,270.0,bottom
R21,157.6,-129.6,90.0,bottom
R22,152.9,-111.3,90.0,bottom
R23,193.6,-107.8,90.0,bottom
R24,193.6,-105.9,90.0,bottom
R25,168.4,-115.6,270.0,bottom
R26,155.9,-121.9,180.0,bottom
R27,178.25,-73.4,90.0,bottom
R28,179.8,-73.4,270.0,bottom
R29,173.9,-72.6,0.0,bottom
R3,157.6,-132.7,270.0,bottom
R30,186.2,-87.3,180.0,bottom
R31,146.8,-116.8,0.0,bottom
R32,148.2,-124.6,270.0,bottom
R33,155.7,-116.4,90.0,bottom
R34,174.6,-87.9,270.0,bottom
R35,152.1,-124.6,90.0,bottom
R36,150.8,-115.1,270.0,bottom
R37,153.8,-124.6,270.0,bottom
R38,155.9,-120.0,0.0,bottom
R39,143.1,-133.5,180.0,bottom
R4,171.8,-105.6,180.0,bottom
R40,138.3,-133.5,0.0,bottom
R41,187.8,-86.7,270.0,bottom
R5,173.6,-87.9,270.0,bottom
R6,138.4,-111.3,90.0,bottom
R7,169.2,-124.1,180.0,bottom
R8,169.2,-125.7,0.0,bottom
R9,177.7,-124.1,180.0,bottom
SW1,125.1,-116.6,180.0,top
TR1,140.8,-124.2,270.0,top
U1,188.3,-106.0,180.0,top
U14,171.05,-89.15,90.0,top
U2,172.5,-123.1,270.0,bottom
U4,161.7,-130.0,270.0,bottom
U5,162.7,-106.0,0.0,top
U6,181.0,-123.1,270.0,bottom
U7,151.1,-119.8,0.0,bottom
U8,162.2,-118.6,90.0,bottom
U9,177.15,-77.2,270.0,bottom
X1,151.0,-108.5,0.0,bottom
Y1,149.8,-127.3,180.0,bottom
